CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1057605,White Poplar,Populus alba,Populus,Salicaceae,NA,1900,1/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.790893782047654, 144.92257141425543)",-37.79089378,144.9225714,317080.56,5815352.76
1028440,London Plane,Platanus x acerifolia,Platanus,Platanaceae,62,1900,2/1/00,Mature,6-10 years (>50% canopy),10,NA,Park,30/9/20,"(-37.84544751087332, 144.97904358884796)",-37.84544751,144.9790436,322184.49,5809408.19
1058665,Small-leaved Linden,Tilia cordata,Tilia,Malvaceae,19,2000,29/5/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.798902715216066, 144.96852132025538)",-37.79890272,144.9685213,321146.24,5814552.99
1026352,Variegated Elm,Ulmus minor,Ulmus,Ulmaceae,26,1900,2/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.81160317631319, 144.98355174888286)",-37.81160318,144.9835517,322500.09,5813172.34
1038440,Canary Island Pine,Pinus canariensis,Pinus,Pinaceae,91,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.78240938533976, 144.96019784543748)",-37.78240939,144.9601978,320373.41,5816367.22
1015128,London Plane,Platanus x acerifolia,Platanus,Platanaceae,99,1900,2/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.79941634390208, 144.94984511347445)",-37.79941634,144.9498451,319503.04,5814460.08
1062959,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,30,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.82315454536741, 144.90899528526762)",-37.82315455,144.9089953,315965.16,5811746.22
1017896,London Plane,Platanus x acerifolia,Platanus,Platanaceae,62,1900,2/1/00,Mature,1-5 years (>50% canopy),5,NA,Park,30/9/20,"(-37.80427126215531, 144.95845657330676)",-37.80427126,144.9584566,320273.05,5813937.95
1033349,Mediterranean cypress,Cupressus sempervirens,Cupressus,Cupressaceae,68,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.824634695313065, 144.97580203061725)",-37.8246347,144.975802,321849.18,5811711.53
1063036,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,17,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.825441255935935, 144.90485392344465)",-37.82544126,144.9048539,315606.32,5811484.3
